Model,F1_Score,FPS_Score,Watts_Score,Joules_Score,EER_Score,Total
Ours,1,1,0.648084778,0.935092742,1,0.916635504
ResNet18,0.936137072,0.853107345,0.425102108,0.772223158,0.931203931,0.783061409
MobileNetV3(Small),0.411214953,0.633396108,1,1,0.385749386,0.683525533
ResNet34,0.767912773,0.620213434,0.381940612,0.57978685,0.797706798,0.632491496
ResNet50,0.714174455,0.633082235,0.367148692,0.528159357,0.716625717,0.592083217
VGG16,0.978971963,0.737288136,0.092173529,0.228233936,0.931203931,0.588797496
MobileNetV2,0.40576324,0.664155681,0.614747765,0.863593716,0.368550369,0.579640867
VGG19,0.978971963,0.854048964,0,0,0.942669943,0.551507972
MobileNetV1,0.374610592,0.31826742,0.626779998,0.926528256,0.303030303,0.502685285
EfficientNetB0,0,0.449466416,0.592559885,0.717684702,0,0.351942201
EfficientNetB1,0.183800623,0,0.551826912,0.537686145,0.135135135,0.276823214
