False Positive Rate(%), True Positive Rate(%), Thresholds
0.0, 0.0, inf
0.0, 0.008333333333333333, 3.061840295791626
0.0, 0.95, 0.6526960134506226
0.016666666666666666, 0.95, 0.3917684555053711
0.016666666666666666, 0.975, 0.3588944971561432
0.025, 0.975, 0.3486522138118744
0.025, 0.9833333333333333, 0.29622790217399597
0.075, 0.9833333333333333, 0.16705307364463806
0.075, 0.9916666666666667, 0.14787130057811737
0.175, 0.9916666666666667, 0.09452731162309647
0.175, 1.0, 0.09345894306898117
1.0, 1.0, 0.009683910757303238
