False Positive Rate(%), False Negative Rate(%), Thresholds
0.0, 1.0, inf
0.0, 0.99, 1.2026885747909546
0.01, 0.99, 1.1679061651229858
0.01, 0.94, 0.9625250101089478
0.02, 0.94, 0.9507583975791931
0.02, 0.7, 0.582847535610199
0.03, 0.7, 0.5806419849395752
0.03, 0.5900000000000001, 0.5240573883056641
0.04, 0.5900000000000001, 0.5112089514732361
0.04, 0.55, 0.5031805038452148
0.05, 0.55, 0.49676841497421265
0.05, 0.38, 0.42425277829170227
0.06, 0.38, 0.4215967655181885
0.06, 0.37, 0.419840008020401
0.07, 0.37, 0.40812355279922485
0.07, 0.33999999999999997, 0.39281532168388367
0.08, 0.33999999999999997, 0.3900122046470642
0.08, 0.31999999999999995, 0.3774537146091461
0.09, 0.31999999999999995, 0.367826372385025
0.09, 0.27, 0.35129284858703613
0.1, 0.27, 0.3438020646572113
0.1, 0.26, 0.34352225065231323
0.12, 0.26, 0.3372500240802765
0.12, 0.25, 0.3297119438648224
0.13, 0.25, 0.3264332413673401
0.13, 0.24, 0.3045569062232971
0.14, 0.24, 0.29710331559181213
0.14, 0.22999999999999998, 0.2969195246696472
0.15, 0.22999999999999998, 0.2959538698196411
0.15, 0.21999999999999997, 0.2934815287590027
0.16, 0.21999999999999997, 0.2871657609939575
0.16, 0.17000000000000004, 0.2543412744998932
0.18, 0.17000000000000004, 0.23547141253948212
0.18, 0.16000000000000003, 0.23374053835868835
0.19, 0.16000000000000003, 0.23351958394050598
0.19, 0.14, 0.22482289373874664
0.2, 0.14, 0.21154004335403442
0.2, 0.13, 0.1986183375120163
0.24, 0.13, 0.18964405357837677
0.24, 0.10999999999999999, 0.18358854949474335
0.25, 0.10999999999999999, 0.17947326600551605
0.25, 0.09999999999999998, 0.1695481836795807
0.3, 0.09999999999999998, 0.14464108645915985
0.3, 0.08999999999999997, 0.14117491245269775
0.33, 0.08999999999999997, 0.13435795903205872
0.33, 0.07999999999999996, 0.13352546095848083
0.45, 0.07999999999999996, 0.1108768954873085
0.45, 0.06999999999999995, 0.10980056971311569
0.47, 0.06999999999999995, 0.10929328948259354
0.47, 0.06000000000000005, 0.10918519645929337
0.54, 0.06000000000000005, 0.0998319610953331
0.54, 0.050000000000000044, 0.09959734976291656
0.58, 0.050000000000000044, 0.08915341645479202
0.58, 0.040000000000000036, 0.08593826740980148
0.65, 0.040000000000000036, 0.07856597751379013
0.65, 0.030000000000000027, 0.07848386466503143
0.75, 0.030000000000000027, 0.06881245970726013
0.75, 0.020000000000000018, 0.06858113408088684
0.93, 0.020000000000000018, 0.03439771384000778
0.93, 0.010000000000000009, 0.033324889838695526
0.99, 0.010000000000000009, 0.027455303817987442
0.99, 0.0, 0.02382730320096016
1.0, 0.0, 0.02337297983467579
