False Positive Rate(%), False Negative Rate(%), Thresholds
0.0, 1.0, inf
0.0, 0.99, 0.7086732983589172
0.0, 0.8, 0.3964543342590332
0.01, 0.8, 0.3902592658996582
0.01, 0.72, 0.3287763297557831
0.03, 0.72, 0.32066914439201355
0.03, 0.6699999999999999, 0.30799633264541626
0.04, 0.6699999999999999, 0.30134645104408264
0.04, 0.62, 0.2859824001789093
0.05, 0.62, 0.2854120135307312
0.05, 0.56, 0.27291905879974365
0.06, 0.56, 0.27052342891693115
0.06, 0.48, 0.2578359842300415
0.07, 0.48, 0.25751635432243347
0.07, 0.47, 0.2534520626068115
0.08, 0.47, 0.2513716518878937
0.08, 0.43000000000000005, 0.24419620633125305
0.09, 0.43000000000000005, 0.2440262883901596
0.09, 0.36, 0.23450937867164612
0.1, 0.36, 0.23083779215812683
0.1, 0.35, 0.22970257699489594
0.11, 0.35, 0.22928546369075775
0.11, 0.29000000000000004, 0.22242361307144165
0.12, 0.29000000000000004, 0.21996089816093445
0.12, 0.20999999999999996, 0.20645537972450256
0.13, 0.20999999999999996, 0.20564913749694824
0.13, 0.19999999999999996, 0.20545177161693573
0.14, 0.19999999999999996, 0.20141655206680298
0.14, 0.18000000000000005, 0.19806021451950073
0.15, 0.18000000000000005, 0.19762293994426727
0.15, 0.13, 0.18738441169261932
0.16, 0.13, 0.17865213751792908
0.16, 0.10999999999999999, 0.1739334911108017
0.18, 0.10999999999999999, 0.17041845619678497
0.18, 0.09999999999999998, 0.16935686767101288
0.22, 0.09999999999999998, 0.16360607743263245
0.22, 0.06999999999999995, 0.16278593242168427
0.23, 0.06999999999999995, 0.16009269654750824
0.23, 0.06000000000000005, 0.15706901252269745
0.25, 0.06000000000000005, 0.1545567810535431
0.25, 0.050000000000000044, 0.15132974088191986
0.31, 0.050000000000000044, 0.14073708653450012
0.31, 0.040000000000000036, 0.1356346160173416
0.34, 0.040000000000000036, 0.13280834257602692
0.34, 0.030000000000000027, 0.132028266787529
0.4, 0.030000000000000027, 0.12071734666824341
0.4, 0.020000000000000018, 0.12013091146945953
0.45, 0.020000000000000018, 0.11549246311187744
0.45, 0.010000000000000009, 0.11497683823108673
0.6, 0.010000000000000009, 0.10142253339290619
0.6, 0.0, 0.09877878427505493
1.0, 0.0, 0.041294410824775696
