False Positive Rate(%), False Negative Rate(%), Thresholds
0.0, 1.0, inf
0.0, 0.99, 0.5554210543632507
0.0, 0.79, 0.3499700427055359
0.01, 0.79, 0.34953227639198303
0.01, 0.69, 0.31618329882621765
0.02, 0.69, 0.31585103273391724
0.02, 0.5900000000000001, 0.2966105043888092
0.03, 0.5900000000000001, 0.2937425673007965
0.03, 0.51, 0.2770474851131439
0.04, 0.51, 0.27619263529777527
0.04, 0.49, 0.27131596207618713
0.05, 0.49, 0.26908212900161743
0.05, 0.45999999999999996, 0.2623984217643738
0.06, 0.45999999999999996, 0.2616705894470215
0.06, 0.4, 0.2509967088699341
0.07, 0.4, 0.25084641575813293
0.07, 0.38, 0.2477845847606659
0.08, 0.38, 0.24710382521152496
0.08, 0.32999999999999996, 0.23761747777462006
0.09, 0.32999999999999996, 0.23567670583724976
0.09, 0.30000000000000004, 0.22621755301952362
0.1, 0.30000000000000004, 0.22411687672138214
0.1, 0.29000000000000004, 0.2236783504486084
0.11, 0.29000000000000004, 0.22035527229309082
0.11, 0.18999999999999995, 0.19409982860088348
0.12, 0.18999999999999995, 0.19230394065380096
0.12, 0.17000000000000004, 0.189564511179924
0.17, 0.17000000000000004, 0.17989984154701233
0.17, 0.16000000000000003, 0.17939430475234985
0.2, 0.16000000000000003, 0.17831309139728546
0.2, 0.10999999999999999, 0.17438361048698425
0.21, 0.10999999999999999, 0.17364728450775146
0.21, 0.09999999999999998, 0.17360959947109222
0.23, 0.09999999999999998, 0.16921591758728027
0.23, 0.08999999999999997, 0.16714602708816528
0.24, 0.08999999999999997, 0.16665439307689667
0.24, 0.07999999999999996, 0.16590416431427002
0.26, 0.07999999999999996, 0.16075648367404938
0.26, 0.06999999999999995, 0.1601938158273697
0.27, 0.06999999999999995, 0.15877065062522888
0.27, 0.06000000000000005, 0.15840524435043335
0.29, 0.06000000000000005, 0.15377725660800934
0.29, 0.050000000000000044, 0.15224504470825195
0.33, 0.050000000000000044, 0.14614425599575043
0.33, 0.040000000000000036, 0.14469729363918304
0.42, 0.040000000000000036, 0.13567616045475006
0.42, 0.030000000000000027, 0.1347193568944931
0.46, 0.030000000000000027, 0.12378620356321335
0.46, 0.020000000000000018, 0.1236642450094223
0.49, 0.020000000000000018, 0.1201683059334755
0.49, 0.010000000000000009, 0.11916520446538925
0.52, 0.010000000000000009, 0.11377733200788498
0.52, 0.0, 0.11351308226585388
1.0, 0.0, 0.036168359220027924
