False Positive Rate(%), False Negative Rate(%), Thresholds
0.0, 1.0, inf
0.0, 0.99, 0.8207362294197083
0.0, 0.94, 0.6723602414131165
0.02, 0.94, 0.6107444167137146
0.02, 0.9299999999999999, 0.5825538039207458
0.03, 0.9299999999999999, 0.5530185103416443
0.03, 0.8, 0.43324604630470276
0.04, 0.8, 0.43283936381340027
0.04, 0.76, 0.4162023663520813
0.05, 0.76, 0.3944796323776245
0.05, 0.6799999999999999, 0.36183059215545654
0.06, 0.6799999999999999, 0.3581414520740509
0.06, 0.6699999999999999, 0.3539159595966339
0.08, 0.6699999999999999, 0.32991164922714233
0.08, 0.61, 0.31278467178344727
0.09, 0.61, 0.30650922656059265
0.09, 0.5, 0.27352091670036316
0.1, 0.5, 0.2730194628238678
0.1, 0.43999999999999995, 0.2542000412940979
0.11, 0.43999999999999995, 0.25398942828178406
0.11, 0.37, 0.21725110709667206
0.12, 0.37, 0.20813390612602234
0.12, 0.32999999999999996, 0.19058039784431458
0.13, 0.32999999999999996, 0.1904156506061554
0.13, 0.29000000000000004, 0.18377307057380676
0.16, 0.29000000000000004, 0.17831756174564362
0.16, 0.28, 0.17822478711605072
0.19, 0.28, 0.16604818403720856
0.19, 0.22999999999999998, 0.15019121766090393
0.24, 0.22999999999999998, 0.1433631181716919
0.24, 0.21999999999999997, 0.13884654641151428
0.25, 0.21999999999999997, 0.13881191611289978
0.25, 0.20999999999999996, 0.13759253919124603
0.26, 0.20999999999999996, 0.13736571371555328
0.26, 0.19999999999999996, 0.1335398256778717
0.27, 0.19999999999999996, 0.13343647122383118
0.27, 0.18000000000000005, 0.13033802807331085
0.3, 0.18000000000000005, 0.12527422606945038
0.3, 0.17000000000000004, 0.12517832219600677
0.31, 0.17000000000000004, 0.11919685453176498
0.31, 0.16000000000000003, 0.11879818886518478
0.33, 0.16000000000000003, 0.11786956340074539
0.33, 0.15000000000000002, 0.11715353280305862
0.35, 0.15000000000000002, 0.11144266277551651
0.35, 0.10999999999999999, 0.10734771937131882
0.37, 0.10999999999999999, 0.10485036671161652
0.37, 0.09999999999999998, 0.1027333214879036
0.38, 0.09999999999999998, 0.10236524790525436
0.38, 0.08999999999999997, 0.10230185091495514
0.43, 0.08999999999999997, 0.09585172683000565
0.43, 0.07999999999999996, 0.09523624926805496
0.46, 0.07999999999999996, 0.09036533534526825
0.46, 0.06999999999999995, 0.08940337598323822
0.5, 0.06999999999999995, 0.07933638989925385
0.5, 0.06000000000000005, 0.07723795622587204
0.52, 0.06000000000000005, 0.07321283221244812
0.52, 0.030000000000000027, 0.07036221027374268
0.53, 0.030000000000000027, 0.06653609126806259
0.53, 0.010000000000000009, 0.059744901955127716
0.55, 0.010000000000000009, 0.05601345747709274
0.55, 0.0, 0.05566693842411041
1.0, 0.0, 0.021480927243828773
