False Positive Rate(%), True Positive Rate(%), Thresholds
0.0, 0.0, inf
0.0, 0.01, 0.8859115242958069
0.0, 0.07, 0.7866225838661194
0.01, 0.07, 0.7731924057006836
0.01, 0.34, 0.41401466727256775
0.02, 0.34, 0.41068896651268005
0.02, 0.4, 0.3828637897968292
0.03, 0.4, 0.38222506642341614
0.03, 0.48, 0.36122044920921326
0.04, 0.48, 0.35204020142555237
0.04, 0.52, 0.33398598432540894
0.05, 0.52, 0.3338247239589691
0.05, 0.66, 0.27315738797187805
0.06, 0.66, 0.2701823115348816
0.06, 0.68, 0.2655904293060303
0.07, 0.68, 0.2652568221092224
0.07, 0.7, 0.2626001536846161
0.08, 0.7, 0.26120057702064514
0.08, 0.71, 0.26059621572494507
0.1, 0.71, 0.25526103377342224
0.1, 0.73, 0.24504990875720978
0.11, 0.73, 0.2441013604402542
0.11, 0.74, 0.24041008949279785
0.12, 0.74, 0.23997776210308075
0.12, 0.77, 0.22845987975597382
0.16, 0.77, 0.22093307971954346
0.16, 0.78, 0.21978966891765594
0.18, 0.78, 0.2142719328403473
0.18, 0.84, 0.2049351930618286
0.2, 0.84, 0.2022794783115387
0.2, 0.85, 0.19955874979496002
0.22, 0.85, 0.19071783125400543
0.22, 0.92, 0.16594642400741577
0.23, 0.92, 0.16436077654361725
0.23, 0.95, 0.1496085375547409
0.25, 0.95, 0.13676513731479645
0.25, 0.96, 0.13664942979812622
0.35, 0.96, 0.11408964544534683
0.35, 0.97, 0.11288610100746155
0.37, 0.97, 0.11179395765066147
0.37, 0.98, 0.10720835626125336
0.47, 0.98, 0.08739585429430008
0.47, 0.99, 0.08612216264009476
0.69, 0.99, 0.0647299736738205
0.69, 1.0, 0.06408516317605972
1.0, 1.0, 0.01978348381817341
